,APP,REQ,SENT,WORD,POS,TAG1,TAG2,TAG3,TAG4,TAG5,TAG6,TAG7,,
0,News,0,0,When,WRB,,,,,,,APP-IFF,,
1,News,0,0,the,DT,,,,,,,O,,
2,News,0,0,user,NN,,,,,,,APP-ENT,,
3,News,0,0,launch,NN,,,,,,,APP-ACT,,
4,News,0,0,app,NN,,,,,,,APP-ENT,,
5,News,0,0,for,IN,,,,,,,APP-QLF,,
6,News,0,0,the,DT,,,,,,,APP-QLF,,
7,News,0,0,first,JJ,,,,,,,APP-QLF,,
8,News,0,0,time,NN,,,,,,,APP-QLF,,
9,News,0,0,",",",",,,,,,,O,,
10,News,0,0,he,PRP,,,,,,,APP-ENT,,
11,News,0,0,should,MD,,,,,,,O,,
12,News,0,0,be,VB,,,,,,,O,,
13,News,0,0,presented,VBN,,,,,,,APP-SHO,,
14,News,0,0,with,IN,,,,,,,O,,
15,News,0,0,a,DT,,,,,,,O,,
16,News,0,0,welcome,JJ,,,,,,,APP-ENT,,
17,News,0,0,message,NN,,,,,,,APP-ENT,,
18,News,0,0,",",",",,,,,,,O,,
19,News,0,0,a,DT,,,,,,,O,,
20,News,0,0,link,NN,,,,,,,APP-ENT,,
21,News,0,0,to,TO,,,,,,,O,,
22,News,0,0,',',,,,,,,O,,
23,News,0,0,news,NNS,,,,,,,APP-FIX,,
24,News,0,0,and,CC,,,,,,,APP-FIX,,
25,News,0,0,privacy,NN,,,,,,,APP-FIX,,
26,News,0,0,',',,,,,,,O,,
27,News,0,0,and,CC,,,,,,,O,,
28,News,0,0,a,DT,,,,,,,O,,
29,News,0,0,button,NN,,,,,,,APP-ENT,,
30,News,0,0,to,TO,,,,,,,O,,
31,News,0,0,continue,VB,,,,,,,APP-ACT,,
32,News,0,0,to,TO,,,,,,,O,,
33,News,0,0,',',,,,,,,O,,
34,News,0,0,sign,VB,,,,,,,APP-ENT,,
35,News,0,0,up,RP,,,,,,,APP-ENT,,
36,News,0,0,',',,,,,,,O,,
37,News,1,1,Once,RB,,,,,,,APP-IFF,,
38,News,1,1,user,JJ,,,,,,,APP-ENT,,
39,News,1,1,click,NN,,,,,,,APP-INP,,
40,News,1,1,on,IN,,,,,,,O,,
41,News,1,1,',',,,,,,,O,,
42,News,1,1,sign,CC,,,,,,,APP-ENT,,
43,News,1,1,up,IN,,,,,,,APP-ENT,,
44,News,1,1,',',,,,,,,O,,
45,News,1,1,",",",",,,,,,,O,,
46,News,1,1,he,PRP,,,,,,,APP-ENT,,
47,News,1,1,should,MD,,,,,,,O,,
48,News,1,1,be,VB,,,,,,,O,,
49,News,1,1,directed,VBN,,,,,,,APP-ACT,,
50,News,1,1,to,TO,,,,,,,O,,
51,News,1,1,a,DT,,,,,,,O,,
52,News,1,1,page,NN,,,,,,,APP-ENT,,
53,News,1,1,where,WRB,,,,,,,O,,
54,News,1,1,the,DT,,,,,,,O,,
55,News,1,1,default,NN,,,,,,,APP-QLF,,
56,News,1,1,news,NN,,,,,,,APP-ENT,,
57,News,1,1,channel,NNS,,,,,,,APP-ENT,,
58,News,1,1,are,VBP,,,,,,,O,,
59,News,1,1,listed,VBN,,,,,,,APP-SHO,,
60,News,1,1,on,IN,,,,,,,APP-POS,,
61,News,1,1,the,DT,,,,,,,APP-POS,,
62,News,1,1,left,NN,,,,,,,APP-POS,,
63,News,1,1,and,CC,,,,,,,O,,
64,News,1,1,major,JJ,,,,,,,APP-ENT,,
65,News,1,1,news,NN,,,,,,,APP-ENT,,
66,News,1,1,of,IN,,,,,,,APP-ENT,,
67,News,1,1,the,DT,,,,,,,APP-ENT,,
68,News,1,1,day,NN,,,,,,,APP-ENT,,
69,News,1,1,are,VBP,,,,,,,O,,
70,News,1,1,shown,VBN,,,,,,,APP-SHO,,
71,News,1,1,on,IN,,,,,,,APP-POS,,
72,News,1,1,the,DT,,,,,,,APP-POS,,
73,News,1,1,right,NN,,,,,,,APP-POS,,
74,News,1,1,organized,VBN,,,,,,,APP-QLF,,
75,News,1,1,based,VBN,,,,,,,O,,
76,News,1,1,on,IN,,,,,,,O,,
77,News,1,1,the,DT,,,,,,,O,,
78,News,1,1,channel,NN,,,,,,,APP-ENT,,
79,News,1,1,they,PRP,,,,,,,APP-ENT,,
80,News,1,1,belong,VBP,,,,,,,APP-ACT,,
81,News,1,1,to,TO,,,,,,,O,,
82,News,2,2,User,NNP,,,,,,,APP-ENT,,
83,News,2,2,should,MD,,,,,,,O,,
84,News,2,2,be,VB,,,,,,,O,,
85,News,2,2,shown,VBN,,,,,,,APP-SHO,,
86,News,2,2,a,DET,,,,,,,O,,
87,News,2,2,popup,JJ,,,,,,,APP-ENT,,
88,News,2,2,window,NN,,,,,,,APP-ENT,,
89,News,2,2,that,WDT,,,,,,,O,,
90,News,2,2,provides,VBZ,,,,,,,APP-ACT,,
91,News,2,2,information,NN,,,,,,,APP-ENT,,
92,News,2,2,on,IN,,,,,,,O,,
93,News,2,2,available,JJ,,,,,,,APP-ENT,,
94,News,2,2,news,NN,,,,,,,APP-ENT,,
95,News,2,2,source,NN,,,,,,,APP-ENT,,
96,News,2,2,and,CC,,,,,,,O,,
97,News,2,2,a,DT,,,,,,,O,,
98,News,2,2,button,NN,,,,,,,APP-ENT,,
99,News,2,2,to,TO,,,,,,,O,,
100,News,2,2,start,VB,,,,,,,APP-ACT,,
101,News,2,2,a,DT,,,,,,,O,,
102,News,2,2,free,JJ,,,,,,,APP-ENT,,
103,News,2,2,one,CD,,,,,,,APP-ENT,,
104,News,2,2,month,NN,,,,,,,APP-ENT,,
105,News,2,2,subscription,NN,,,,,,,APP-ENT,,
106,News,3,3,Each,DT,,,,,,,APP-QLF,,
107,News,3,3,piece,NN,,,,,,,APP-ENT,,
108,News,3,3,of,IN,,,,,,,APP-ENT,,
109,News,3,3,news,NN,,,,,,,APP-ENT,,
110,News,3,3,should,MD,,,,,,,O,,
111,News,3,3,show,VB,,,,,,,APP-SHO,,
112,News,3,3,the,DT,,,,,,,O,,
113,News,3,3,following,JJ,,,,,,,APP-ENT,,
114,News,3,3,information,NN,,,,,,,APP-ENT,,
115,News,3,3,:,:,,,,,,,O,,
116,News,3,3,source,NN,,,,,,,APP-ENT,,
117,News,3,3,",",",",,,,,,,O,,
118,News,3,3,title,NN,,,,,,,APP-ENT,,
119,News,3,3,",",",",,,,,,,O,,
120,News,3,3,summary,JJ,,,,,,,APP-ENT,,
121,News,3,3,",",",",,,,,,,O,,
