Id,App,Requirement
1,News,"When the user launches app for the first time, he should be presented with a welcome message, a link to 'news and privacy' and a button to 'continue to sign up'"
2,News,"Once user clicks on 'sign up', he should be directed to a page where the default news channels are listed on the left and major news of the days are shown on the right organized based on the channels they belong to"
3,News,User should be shown are popup windows that provides information on available news sources and a button to start a free one moth subscription
4,News,"Each piece of news should show the following information: source, title, summary, and when the news was originally released"
5,News,"The news should be organized in three sections: top stories on the top, followed by tending news, and a section called 'For You' at the bottom"
6,News,"When the user selects a piece of news, he is taken to a page that shows the full news including the image on top, followed by the news title, authors, dates, and the full story"
8,News,"At the bottom of the full news page, user should see a list of similar pieces of news from the same publisher followed by related stories from other publishers"
9,News,User should be able to click on a button to follow the publisher
10,News,"If the user chooses to follow the publisher, the button's text should be changed to 'following' and a popup window should be shown to allow the user link the news app with his email."
11,News,"If the user link the news app to his email, he should receive a daily email including top news for that days with links to see those news over the web"
12,News,"From the news full page, User should be able to go back to main page by clicking on a back button at the top of the page"
13,News,"user should be able to search for a text on top right side of the main page. As user types in, a search has to be made based on the characters entered, the top match should be shown first, followed by stories containing the search phrase, followed by channels that normally publish news related to the search term, followed by topics containing the search term"
14,News,"On the news full page, next to the search should be a button with an up arrow that when clicked should show a list of options to share the news. The options should be email, post on social media, and open in the following apps: notes, messages, and browser"
15,News,"On the main page, if the user clicks on a channel, all the news for that channel should be displayed to the right"
16,News,"The channels have to be organized in this order: followed channels, suggested channel, and some default channels"
1,Food Delivery,"When the user launches the app for the first time, show a screen with logo and name of the app and a button underneath called 'Get Started'"
2,Food Delivery,"When user taps on 'Get Started' several introduction screens must be shown in sequence, where each contains an image on the top, a title in bold font below the image followed by a paragraph of text below it. A few dots should  the number of such screens that will be shown and the dot at index of the display screen should be become orange. A button should be displayed at the bottom to take the user to the next page"
3,Food Delivery,"Once the user taps on next at the last introduction screen, user should be taken to a page with options to sign up using social media or via email. The 'sign up using email' button should be highlighted. A test should be displayed below these buttons saying 'Already have account?' and if user taps on it, should be directed to the login screen"
4,Food Delivery,"If user taps on the 'sign up by email' button, she should see a page with the app logo on top, followed by app name, and followed by a message. Below these, four input fields should be shown, first to enter the username, second to enter the phone number, the third to enter the password, and forth to confirm the password. There should be a button at the bottom called 'Sign Up'. There should be a message below the 'sign up' button stating 'Do you have an account? Log in' where 'Log in' should be in orange and if tapped should take the user to the log in screen"
5,Food Delivery,"Once the user taps on 'sign up' button, she should be taken to the a menu page where on the top user can see his profile picture, his name to the right of the photo and his phone number below the name. Below these there should be a menu in the left side of the screen allowing the user to select the following: Restaurant Info, Favorites, Orders, Payments, My Rewards, Settings, and Support."
6,Food Delivery,"If user selects restaurant's info, she should be taken to the Food Menu page with the Food Menu on the top, Delivery bellow that and default address of the customer coming after. There should be four chips to select among popular, top rated, under 30 min, and gourmet. There should be a grid with two columns and 4 rows with the following images (each image has a text on top): 'Appetizer', 'Burger & Sandwich', 'Specialties', 'Healthy', 'Lunch' and 'Dinner'"
7,Food Delivery,"There should be a tab control at the bottom of menu pages with the following options: 'Home', 'Delivery', 'Orders', 'Favorites' and 'Account'. Each will take the user to the corresponding page."
8,Food Delivery,"Tapping on the images on the food menu should take the user to a page that shows the food belonging to that category. On the page, on the top show 'Food Menu' followed by a horizontal list of images for food categories Appetizers, Burgers, Specialties, Healthy, Lunch, and Dinner. Under that there should be a set of chips that can further filter the items shown below. These chips should include: Popular, Top Rated, Under 30 Min, and Gourmet. The first chip should be selected by default. Below the chips should show the name of the category followed by the list of food items filtered by the chip. Each food item should include an image on top followed by its name in bold on the left and price on the right, followed by description of the food and a button for 'Add to Order'."
