,APP,REQ,SENT,WORD,LEMMA,POS,DEP,TAG7,,,APP,REQ,SENT,WORD,POS,TAG1,TAG2,TAG3,TAG4,TAG5,TAG6,TAG7
0,News,0,0,When,when,ADV,advmod,APP-IFF,,0,News,0,0,When,WRB,0,,,,,,APP-IFF
1,News,0,0,the,the,DET,det,O,,1,News,0,0,the,DT,0,,,,,,O
2,News,0,0,user,user,NOUN,nsubj,APP-ENT,,2,News,0,0,user,NN,0,,,,,,APP-ENT
3,News,0,0,launches,launch,VERB,advcl,APP-ACT,,3,News,0,0,launches,NN,0,,,,,,APP-ACT
4,News,0,0,app,app,NOUN,dobj,APP-ENT,,4,News,0,0,app,NN,0,,,,,,APP-ENT
5,News,0,0,for,for,ADP,prep,APP-QLF,,5,News,0,0,for,IN,0,,,,,,APP-QLF
6,News,0,0,the,the,DET,det,APP-QLF,,6,News,0,0,the,DT,0,,,,,,APP-QLF
7,News,0,0,first,first,ADJ,amod,APP-QLF,,7,News,0,0,first,JJ,0,,,,,,APP-QLF
8,News,0,0,time,time,NOUN,pobj,APP-QLF,,8,News,0,0,time,NN,0,,,,,,APP-QLF
9,News,0,0,",",",",PUNCT,punct,O,,9,News,0,0,",",",",0,,,,,,O
10,News,0,0,he,-PRON-,PRON,nsubjpass,APP-ENT,,10,News,0,0,he,PRP,0,,,,,,APP-ENT
11,News,0,0,should,should,VERB,aux,O,,11,News,0,0,should,MD,0,,,,,,O
12,News,0,0,be,be,AUX,auxpass,O,,12,News,0,0,be,VB,0,,,,,,O
13,News,0,0,presented,present,VERB,ROOT,APP-SHO,,13,News,0,0,presented,VBN,0,,,,,,APP-SHO
14,News,0,0,with,with,ADP,prep,O,,14,News,0,0,with,IN,0,,,,,,O
15,News,0,0,a,a,DET,det,O,,15,News,0,0,a,DT,0,,,,,,O
16,News,0,0,welcome,welcome,ADJ,amod,APP-ENT,,16,News,0,0,welcome,JJ,0,,,,,,APP-ENT
17,News,0,0,message,message,NOUN,pobj,APP-ENT,,17,News,0,0,message,NN,0,,,,,,APP-ENT
18,News,0,0,",",",",PUNCT,punct,O,,18,News,0,0,",",",",0,,,,,,O
19,News,0,0,a,a,DET,det,O,,19,News,0,0,a,DT,0,,,,,,O
20,News,0,0,link,link,NOUN,appos,APP-ENT,,20,News,0,0,link,NN,0,,,,,,APP-ENT
21,News,0,0,to,to,ADP,prep,O,,21,News,0,0,to,TO,0,,,,,,O
22,News,0,0,',',PUNCT,punct,O,,22,News,0,0,',',0,,,,,,O
23,News,0,0,news,news,NOUN,pobj,APP-FIX,,23,News,0,0,news,NNS,0,,,,,,APP-FIX
24,News,0,0,and,and,CCONJ,cc,APP-FIX,,24,News,0,0,and,CC,0,,,,,,APP-FIX
25,News,0,0,privacy,privacy,NOUN,conj,APP-FIX,,25,News,0,0,privacy,NN,0,,,,,,APP-FIX
26,News,0,0,',',PUNCT,punct,O,,26,News,0,0,',',0,,,,,,O
27,News,0,0,and,and,CCONJ,cc,O,,27,News,0,0,and,CC,0,,,,,,O
28,News,0,0,a,a,DET,det,O,,28,News,0,0,a,DT,0,,,,,,O
29,News,0,0,button,button,NOUN,conj,APP-ENT,,29,News,0,0,button,NN,0,,,,,,APP-ENT
30,News,0,0,to,to,PART,aux,O,,30,News,0,0,to,TO,0,,,,,,O
31,News,0,0,',',PUNCT,punct,O,,,,,,',,0,,,,,,APP-ACT
32,News,0,0,continue,continue,VERB,acl,APP-ACT,,31,News,0,0,continue,VB,0,,,,,,O
33,News,0,0,to,to,PART,aux,O,,32,News,0,0,to,TO,0,,,,,,O
34,News,0,0,sign,sign,VERB,xcomp,APP-ENT,,34,News,0,0,sign,VB,0,,,,,,APP-ENT
35,News,0,0,up,up,ADP,prt,APP-ENT,,35,News,0,0,up,RP,0,,,,,,APP-ENT
36,News,0,0,',',PUNCT,punct,O,,36,News,0,0,',',0,,,,,,O
37,News,1,1,Once,once,SCONJ,advmod,APP-IFF,,37,News,1,1,Once,RB,0,,,,,,APP-IFF
38,News,1,1,user,user,NOUN,nsubj,APP-ENT,,38,News,1,1,user,JJ,0,,,,,,APP-ENT
39,News,1,1,clicks,click,VERB,advcl,APP-INP,,39,News,1,1,clicks,NN,0,,,,,,APP-INP
40,News,1,1,on,on,ADP,prt,O,,40,News,1,1,on,IN,0,,,,,,O
41,News,1,1,',',PUNCT,punct,O,,41,News,1,1,',',0,,,,,,O
42,News,1,1,sign,sign,VERB,xcomp,APP-ENT,,42,News,1,1,sign,CC,0,,,,,,APP-ENT
43,News,1,1,up,up,ADP,prt,APP-ENT,,43,News,1,1,up,IN,0,,,,,,APP-ENT
44,News,1,1,',',PUNCT,punct,O,,44,News,1,1,',',0,,,,,,O
45,News,1,1,",",",",PUNCT,punct,O,,45,News,1,1,",",",",0,,,,,,O
46,News,1,1,he,-PRON-,PRON,nsubjpass,APP-ENT,,46,News,1,1,he,PRP,0,,,,,,APP-ENT
47,News,1,1,should,should,VERB,aux,O,,47,News,1,1,should,MD,0,,,,,,O
48,News,1,1,be,be,AUX,auxpass,O,,48,News,1,1,be,VB,0,,,,,,O
49,News,1,1,directed,direct,VERB,ROOT,APP-ACT,,49,News,1,1,directed,VBN,0,,,,,,APP-ACT
50,News,1,1,to,to,ADP,prep,O,,50,News,1,1,to,TO,0,,,,,,O
51,News,1,1,a,a,DET,det,O,,51,News,1,1,a,DT,0,,,,,,O
52,News,1,1,page,page,NOUN,pobj,APP-ENT,,52,News,1,1,page,NN,0,,,,,,APP-ENT
53,News,1,1,where,where,ADV,advmod,O,,53,News,1,1,where,WRB,0,,,,,,O
54,News,1,1,the,the,DET,det,O,,54,News,1,1,the,DT,0,,,,,,O
55,News,1,1,default,default,NOUN,compound,APP-QLF,,55,News,1,1,default,NN,0,,,,,,APP-QLF
56,News,1,1,news,news,NOUN,compound,APP-ENT,,56,News,1,1,news,NN,0,,,,,,APP-ENT
57,News,1,1,channels,channel,NOUN,nsubjpass,APP-ENT,,57,News,1,1,channels,NNS,0,,,,,,APP-ENT
58,News,1,1,are,be,AUX,auxpass,O,,58,News,1,1,are,VBP,0,,,,,,O
59,News,1,1,listed,list,VERB,relcl,APP-SHO,,59,News,1,1,listed,VBN,0,,,,,,APP-SHO
60,News,1,1,on,on,ADP,prep,APP-POS,,60,News,1,1,on,IN,0,,,,,,APP-POS
61,News,1,1,the,the,DET,det,APP-POS,,61,News,1,1,the,DT,0,,,,,,APP-POS
62,News,1,1,left,left,ADJ,amod,APP-POS,,62,News,1,1,left,NN,0,,,,,,APP-POS
63,News,1,1,and,and,CCONJ,cc,O,,63,News,1,1,and,CC,0,,,,,,O
64,News,1,1,major,major,ADJ,conj,APP-ENT,,64,News,1,1,major,JJ,0,,,,,,APP-ENT
65,News,1,1,news,news,NOUN,pobj,APP-ENT,,65,News,1,1,news,NN,0,,,,,,APP-ENT
66,News,1,1,of,of,ADP,prep,APP-ENT,,66,News,1,1,of,IN,0,,,,,,APP-ENT
67,News,1,1,the,the,DET,det,APP-ENT,,67,News,1,1,the,DT,0,,,,,,APP-ENT
68,News,1,1,days,day,NOUN,pobj,APP-ENT,,68,News,1,1,day,NN,1,singular,,,,,APP-ENT
69,News,1,1,are,be,AUX,auxpass,O,,69,News,1,1,are,VBP,0,,,,,,O
70,News,1,1,shown,show,VERB,relcl,APP-SHO,,70,News,1,1,shown,VBN,0,,,,,,APP-SHO
71,News,1,1,on,on,ADP,prep,APP-POS,,71,News,1,1,on,IN,0,,,,,,APP-POS
72,News,1,1,the,the,DET,det,APP-POS,,72,News,1,1,the,DT,0,,,,,,APP-POS
73,News,1,1,right,right,NOUN,amod,APP-POS,,73,News,1,1,right,NN,0,,,,,,APP-POS
74,News,1,1,organized,organize,VERB,pobj,APP-QLF,,74,News,1,1,organized,VBN,0,,,,,,APP-QLF
75,News,1,1,based,base,VERB,prep,O,,75,News,1,1,based,VBN,0,,,,,,O
76,News,1,1,on,on,ADP,prep,O,,76,News,1,1,on,IN,0,,,,,,O
77,News,1,1,the,the,DET,det,O,,77,News,1,1,the,DT,0,,,,,,O
78,News,1,1,channels,channel,NOUN,pobj,APP-ENT,,78,News,1,1,channels,NN,0,,,,,,APP-ENT
79,News,1,1,they,-PRON-,PRON,nsubj,APP-ENT,,79,News,1,1,they,PRP,0,,,,,,APP-ENT
80,News,1,1,belong,belong,VERB,relcl,APP-ACT,,80,News,1,1,belong,VBP,0,,,,,,APP-ACT
81,News,1,1,to,to,ADP,prep,O,,81,News,1,1,to,TO,0,,,,,,O
82,News,2,2,User,User,PROPN,nsubjpass,APP-ENT,,82,News,2,2,User,NNP,0,,,,,,APP-ENT
83,News,2,2,should,should,VERB,aux,O,,83,News,2,2,should,MD,0,,,,,,O
84,News,2,2,be,be,AUX,auxpass,O,,84,News,2,2,be,VB,0,,,,,,O
85,News,2,2,shown,show,VERB,ROOT,APP-SHO,,85,News,2,2,shown,VBN,0,,,,,,APP-SHO
86,News,2,2,are,be,AUX,ccomp,O,,86,News,2,2,a,DET,1,other,,,,,O
87,News,2,2,popup,popup,ADJ,amod,APP-ENT,,87,News,2,2,popup,JJ,0,,,,,,APP-ENT
88,News,2,2,windows,window,NOUN,attr,APP-ENT,,88,News,2,2,window,NN,1,singular,,,,,APP-ENT
89,News,2,2,that,that,DET,nsubj,O,,89,News,2,2,that,WDT,0,,,,,,O
90,News,2,2,provides,provide,VERB,relcl,APP-ACT,,90,News,2,2,provides,VBZ,0,,,,,,APP-ACT
91,News,2,2,information,information,NOUN,dobj,APP-ENT,,91,News,2,2,information,NN,0,,,,,,APP-ENT
92,News,2,2,on,on,ADP,prep,O,,92,News,2,2,on,IN,0,,,,,,O
93,News,2,2,available,available,ADJ,amod,APP-ENT,,93,News,2,2,available,JJ,0,,,,,,APP-ENT
94,News,2,2,news,news,NOUN,compound,APP-ENT,,94,News,2,2,news,NN,0,,,,,,APP-ENT
95,News,2,2,sources,source,NOUN,pobj,APP-ENT,,95,News,2,2,sources,NN,0,,,,,,APP-ENT
96,News,2,2,and,and,CCONJ,cc,O,,96,News,2,2,and,CC,0,,,,,,O
97,News,2,2,a,a,DET,det,O,,97,News,2,2,a,DT,0,,,,,,O
98,News,2,2,button,button,NOUN,conj,APP-ENT,,98,News,2,2,button,NN,0,,,,,,APP-ENT
99,News,2,2,to,to,PART,aux,O,,99,News,2,2,to,TO,0,,,,,,O
100,News,2,2,start,start,VERB,relcl,APP-ACT,,100,News,2,2,start,VB,0,,,,,,APP-ACT
101,News,2,2,a,a,DET,det,O,,101,News,2,2,a,DT,0,,,,,,O
102,News,2,2,free,free,ADJ,amod,APP-ENT,,102,News,2,2,free,JJ,0,,,,,,APP-ENT
103,News,2,2,one,one,NUM,nummod,APP-ENT,,103,News,2,2,one,CD,0,,,,,,APP-ENT
104,News,2,2,moth,moth,ADJ,compound,APP-ENT,,104,News,2,2,month,NN,1,other,,,,,APP-ENT
105,News,2,2,subscription,subscription,NOUN,dobj,APP-ENT,,105,News,2,2,subscription,NN,0,,,,,,APP-ENT
106,News,3,3,Each,each,DET,det,APP-QLF,,106,News,3,3,Each,DT,0,,,,,,APP-QLF
107,News,3,3,piece,piece,NOUN,nsubj,APP-ENT,,107,News,3,3,piece,NN,0,,,,,,APP-ENT
108,News,3,3,of,of,ADP,prep,APP-ENT,,108,News,3,3,of,IN,0,,,,,,APP-ENT
109,News,3,3,news,news,NOUN,pobj,APP-ENT,,109,News,3,3,news,NN,0,,,,,,APP-ENT
110,News,3,3,should,should,VERB,aux,O,,110,News,3,3,should,MD,0,,,,,,O
111,News,3,3,show,show,VERB,ROOT,APP-SHO,,111,News,3,3,show,VB,0,,,,,,APP-SHO
112,News,3,3,the,the,DET,det,O,,112,News,3,3,the,DT,0,,,,,,O
113,News,3,3,following,following,ADJ,amod,APP-ENT,,113,News,3,3,following,JJ,0,,,,,,APP-ENT
114,News,3,3,information,information,NOUN,dobj,APP-ENT,,114,News,3,3,information,NN,0,,,,,,APP-ENT
115,News,3,3,:,:,PUNCT,punct,O,,115,News,3,3,:,:,0,,,,,,O
116,News,3,3,source,source,NOUN,appos,APP-ENT,,116,News,3,3,source,NN,0,,,,,,APP-ENT
117,News,3,3,",",",",PUNCT,punct,O,,117,News,3,3,",",",",0,,,,,,O
118,News,3,3,title,title,NOUN,conj,APP-ENT,,118,News,3,3,title,NN,0,,,,,,APP-ENT
119,News,3,3,",",",",PUNCT,punct,O,,119,News,3,3,",",",",0,,,,,,O
120,News,3,3,summary,summary,NOUN,conj,APP-ENT,,120,News,3,3,summary,JJ,0,,,,,,APP-ENT
