,APP,REQ,SENT,WORD,LEMMA,POS,DEP,TAG,Error,Error Type
0,News,0,0,When,when,ADV,advmod,APP-IFF,0,
1,News,0,0,the,the,DET,det,O,0,
2,News,0,0,user,user,NOUN,nsubj,APP-ENT,0,
3,News,0,0,launches,launch,VERB,advcl,APP-ACT,0,
4,News,0,0,app,app,NOUN,dobj,APP-ENT,0,
5,News,0,0,for,for,ADP,prep,APP-QLF,0,
6,News,0,0,the,the,DET,det,APP-QLF,0,
7,News,0,0,first,first,ADJ,amod,APP-QLF,0,
8,News,0,0,time,time,NOUN,pobj,APP-QLF,0,
9,News,0,0,",",",",PUNCT,punct,O,0,
10,News,0,0,he,-PRON-,PRON,nsubjpass,APP-ENT,0,
11,News,0,0,should,should,VERB,aux,O,0,
12,News,0,0,be,be,AUX,auxpass,O,0,
13,News,0,0,presented,present,VERB,ROOT,APP-SHO,0,
14,News,0,0,with,with,ADP,prep,O,0,
15,News,0,0,a,a,DET,det,O,0,
16,News,0,0,welcome,welcome,ADJ,amod,APP-ENT,0,
17,News,0,0,message,message,NOUN,pobj,APP-ENT,0,
18,News,0,0,",",",",PUNCT,punct,O,0,
19,News,0,0,a,a,DET,det,O,0,
20,News,0,0,link,link,NOUN,appos,APP-ENT,0,
21,News,0,0,to,to,ADP,prep,O,0,
22,News,0,0,',',PUNCT,punct,O,0,
23,News,0,0,news,news,NOUN,pobj,APP-FIX,0,
24,News,0,0,and,and,CCONJ,cc,APP-FIX,0,
25,News,0,0,privacy,privacy,NOUN,conj,APP-FIX,0,
26,News,0,0,',',PUNCT,punct,O,0,
27,News,0,0,and,and,CCONJ,cc,O,0,
28,News,0,0,a,a,DET,det,O,0,
29,News,0,0,button,button,NOUN,conj,APP-ENT,0,
30,News,0,0,to,to,PART,aux,O,0,
31,News,0,0,',',PUNCT,punct,O,0,
32,News,0,0,continue,continue,VERB,acl,APP-ACT,0,
33,News,0,0,to,to,PART,aux,O,0,
34,News,0,0,sign,sign,VERB,xcomp,APP-ENT,0,
35,News,0,0,up,up,ADP,prt,APP-ENT,0,
36,News,0,0,',',PUNCT,punct,O,0,
37,News,1,1,Once,once,SCONJ,advmod,APP-IFF,0,
38,News,1,1,user,user,NOUN,nsubj,APP-ENT,0,
39,News,1,1,clicks,click,VERB,advcl,APP-INP,0,
40,News,1,1,on,on,ADP,prt,O,0,
41,News,1,1,',',PUNCT,punct,O,0,
42,News,1,1,sign,sign,VERB,xcomp,APP-ENT,0,
43,News,1,1,up,up,ADP,prt,APP-ENT,0,
44,News,1,1,',',PUNCT,punct,O,0,
45,News,1,1,",",",",PUNCT,punct,O,0,
46,News,1,1,he,-PRON-,PRON,nsubjpass,APP-ENT,0,
47,News,1,1,should,should,VERB,aux,O,0,
48,News,1,1,be,be,AUX,auxpass,O,0,
49,News,1,1,directed,direct,VERB,ROOT,APP-ACT,0,
50,News,1,1,to,to,ADP,prep,O,0,
